순번	광역단체	기초단체	토건예산(2009년)	토건예산(2012년)	토건예산증감(p)	복지예산(2009년)	복지예산(2012년)	복지예산증감(p)	자살자수(2012년, 10만명 당 연령표준화)
1	서울	본청	21.41	12.71	-8.70	22.1	26.6	4.5	21.2
2	서울	종로구	36.41	19.97	-16.44	18.6	26.3	7.7	14.2
3	서울	중구	33.54	18.50	-15.04	23.6	28.6	5.0	25.3
4	서울	용산구	34.44	15.04	-19.40	22.1	34.9	12.8	23
5	서울	성동구	27.87	19.95	-7.92	23.6	33.0	9.4	23.1
6	서울	광진구	26.49	11.83	-14.66	31.6	37.3	5.7	16
7	서울	동대문구	33.97	13.55	-20.42	29.1	38.4	9.3	24.9
8	서울	중랑구	23.90	8.08	-15.82	39.7	46.9	7.2	23.4
9	서울	성북구	23.76	9.78	-13.98	33.7	43.5	9.8	19.3
10	서울	강북구	29.49	10.65	-18.84	40.7	47.7	7.0	23
11	서울	도봉구	23.71	11.63	-12.08	38.2	44.1	5.9	22.3
12	서울	노원구	24.97	8.00	-16.97	43.5	53.9	10.4	23
13	서울	은평구	35.77	9.43	-26.34	37.4	49.6	12.2	22.4
14	서울	서대문구	33.47	13.08	-20.39	30.7	36.5	5.8	23.7
15	서울	마포구	26.41	10.26	-16.15	35.4	41.7	6.3	21.9
16	서울	양천구	22.90	14.25	-8.65	32.8	43.6	10.8	21.1
17	서울	강서구	22.28	15.20	-7.08	44.0	49.5	5.5	24.8
18	서울	구로구	22.15	17.28	-4.87	34.6	44.1	9.5	23.2
19	서울	금천구	29.19	14.56	-14.63	35.4	46.5	11.1	25.4
20	서울	영등포구	28.00	14.16	-13.84	31.9	35.7	3.8	19.7
21	서울	동작구	26.71	13.62	-13.09	35.8	42.7	6.9	20.1
22	서울	관악구	24.85	7.90	-16.95	38.9	46.0	7.1	21.7
23	서울	서초구	47.88	27.72	-20.16	22.1	27.2	5.1	13.3
24	서울	강남구	36.28	16.93	-19.35	21.6	32.0	10.4	20.5
